nome,tipo,descricao,tabela
v114,INT64,"Pessoas de 18 ou 19 anos de idade, do sexo masculino e cor ou raça – amarela",raca_idade_gen
v115,INT64,"Pessoas de 18 ou 19 anos de idade, do sexo masculino e cor ou raça – parda",raca_idade_gen
v116,INT64,"Pessoas de 18 ou 19 anos de idade, do sexo masculino e cor ou raça - indígena",raca_idade_gen
v117,INT64,"Pessoas de 20 a 24 anos de idade, do sexo masculino e cor ou raça - branca",raca_idade_gen
v118,INT64,"Pessoas de 20 a 24 anos de idade, do sexo masculino e cor ou raça - preta",raca_idade_gen
v119,INT64,"Pessoas de 20 a 24 anos de idade, do sexo masculino e cor ou raça - amarela",raca_idade_gen
v120,INT64,"Pessoas de 20 a 24 anos de idade, do sexo masculino e cor ou raça - parda",raca_idade_gen
v121,INT64,"Pessoas de 20 a 24 anos de idade, do sexo masculino e cor ou raça - indígena",raca_idade_gen
v122,INT64,"Pessoas de 25 a 29 anos de idade, do sexo masculino e cor ou raça – branca",raca_idade_gen
v123,INT64,"Pessoas de 25 a 29 anos de idade, do sexo masculino e cor ou raça – preta",raca_idade_gen
v124,INT64,"Pessoas de 25 a 29 anos de idade, do sexo masculino e cor ou raça – amarela",raca_idade_gen
v125,INT64,"Pessoas de 25 a 29 anos de idade, do sexo masculino e cor ou raça – parda",raca_idade_gen
v126,INT64,"Pessoas de 25 a 29 anos de idade, do sexo masculino e cor ou raça - indígena",raca_idade_gen
v127,INT64,"Pessoas de 30 a 34 anos de idade, do sexo masculino e cor ou raça – branca",raca_idade_gen
v128,INT64,"Pessoas de 30 a 34 anos de idade, do sexo masculino e cor ou raça – preta",raca_idade_gen
v129,INT64,"Pessoas de 30 a 34 anos de idade, do sexo masculino e cor ou raça – amarela",raca_idade_gen
v130,INT64,"Pessoas de 30 a 34 anos de idade, do sexo masculino e cor ou raça – parda",raca_idade_gen
v131,INT64,"Pessoas de 30 a 34 anos de idade, do sexo masculino e cor ou raça - indígena",raca_idade_gen
v132,INT64,"Pessoas de 35 a 39 anos de idade, do sexo masculino e cor ou raça - branca",raca_idade_gen
v133,INT64,"Pessoas de 35 a 39 anos de idade, do sexo masculino e cor ou raça – preta",raca_idade_gen
v134,INT64,"Pessoas de 35 a 39 anos de idade, do sexo masculino e cor ou raça – amarela",raca_idade_gen
v135,INT64,"Pessoas de 35 a 39 anos de idade, do sexo masculino e cor ou raça – parda",raca_idade_gen
v136,INT64,"Pessoas de 35 a 39 anos de idade, do sexo masculino e cor ou raça - indígena",raca_idade_gen
v137,INT64,"Pessoas de 40 a 44 anos de idade, do sexo masculino e cor ou raça – branca",raca_idade_gen
v138,INT64,"Pessoas de 40 a 44 anos de idade, do sexo masculino e cor ou raça – preta",raca_idade_gen
v139,INT64,"Pessoas de 40 a 44 anos de idade, do sexo masculino e cor ou raça – amarela",raca_idade_gen
v140,INT64,"Pessoas de 40 a 44 anos de idade, do sexo masculino e cor ou raça – parda",raca_idade_gen
v141,INT64,"Pessoas de 40 a 44 anos de idade, do sexo masculino e cor ou raça - indígena",raca_idade_gen
v142,INT64,"Pessoas de 45 a 49 anos de idade, do sexo masculino e cor ou raça – branca",raca_idade_gen
v143,INT64,"Pessoas de 45 a 49 anos de idade, do sexo masculino e cor ou raça – preta",raca_idade_gen
v144,INT64,"Pessoas de 45 a 49 anos de idade, do sexo masculino e cor ou raça – amarela",raca_idade_gen
v145,INT64,"Pessoas de 45 a 49 anos de idade, do sexo masculino e cor ou raça – parda",raca_idade_gen
v146,INT64,"Pessoas de 45 a 49 anos de idade, do sexo masculino e cor ou raça – indígena",raca_idade_gen
v147,INT64,"Pessoas de 50 a 54 anos de idade, do sexo masculino e cor ou raça – branca",raca_idade_gen
v148,INT64,"Pessoas de 50 a 54 anos de idade, do sexo masculino e cor ou raça – preta",raca_idade_gen
v149,INT64,"Pessoas de 50 a 54 anos de idade, do sexo masculino e cor ou raça – amarela",raca_idade_gen
v150,INT64,"Pessoas de 50 a 54 anos de idade, do sexo masculino e cor ou raça – parda",raca_idade_gen
v151,INT64,"Pessoas de 50 a 54 anos de idade, do sexo masculino e cor ou raça - indígena",raca_idade_gen
v152,INT64,"Pessoas de 55 a 59 anos de idade, do sexo masculino e cor ou raça – branca",raca_idade_gen
v153,INT64,"Pessoas de 55 a 59 anos de idade, do sexo masculino e cor ou raça – preta",raca_idade_gen
v154,INT64,"Pessoas de 55 a 59 anos de idade, do sexo masculino e cor ou raça – amarela",raca_idade_gen
v155,INT64,"Pessoas de 55 a 59 anos de idade, do sexo masculino e cor ou raça – parda",raca_idade_gen
v156,INT64,"Pessoas de 55 a 59 anos de idade, do sexo masculino e cor ou raça - indígena",raca_idade_gen
v157,INT64,"Pessoas de 60 a 69 anos de idade, do sexo masculino e cor ou raça – branca",raca_idade_gen
v158,INT64,"Pessoas de 60 a 69 anos de idade, do sexo masculino e cor ou raça – preta",raca_idade_gen
v159,INT64,"Pessoas de 60 a 69 anos de idade, do sexo masculino e cor ou raça – amarela",raca_idade_gen
v160,INT64,"Pessoas de 60 a 69 anos de idade, do sexo masculino e cor ou raça – parda",raca_idade_gen
v161,INT64,"Pessoas de 60 a 69 anos de idade, do sexo masculino e cor ou raça - indígena",raca_idade_gen
v162,INT64,"Pessoas de 70 anos ou mais de idade, do sexo masculino e cor ou raça – branca",raca_idade_gen
v163,INT64,"Pessoas de 70 anos ou mais de idade, do sexo masculino e cor ou raça – preta",raca_idade_gen
v164,INT64,"Pessoas de 70 anos ou mais de idade, do sexo masculino e cor ou raça – amarela",raca_idade_gen
v165,INT64,"Pessoas de 70 anos ou mais de idade, do sexo masculino e cor ou raça – parda",raca_idade_gen
v166,INT64,"Pessoas de 70 anos ou mais de idade, do sexo masculino e cor ou raça - indígena",raca_idade_gen
v167,INT64,"Pessoas de 5 ou 6 anos de idade, do sexo feminino e cor ou raça - branca",raca_idade_gen
v168,INT64,"Pessoas de 5 ou 6 anos de idade, do sexo feminino e cor ou raça - preta",raca_idade_gen
v169,INT64,"Pessoas de 5 ou 6 anos de idade, do sexo feminino e cor ou raça - amarela",raca_idade_gen
v170,INT64,"Pessoas de 5 ou 6 anos de idade, do sexo feminino e cor ou raça - parda",raca_idade_gen
v171,INT64,"Pessoas de 5 ou 6 anos de idade, do sexo feminino e cor ou raça - indígena",raca_idade_gen
v172,INT64,"Pessoas de 7 a 9 anos de idade, do sexo feminino e cor ou raça - branca",raca_idade_gen
v173,INT64,"Pessoas de 7 a 9 anos de idade, do sexo feminino e cor ou raça - preta",raca_idade_gen
v174,INT64,"Pessoas de 7 a 9 anos de idade, do sexo feminino e cor ou raça - amarela",raca_idade_gen
v175,INT64,"Pessoas de 7 a 9 anos de idade, do sexo feminino e cor ou raça - parda",raca_idade_gen
v176,INT64,"Pessoas de 7 a 9 anos de idade, do sexo feminino e cor ou raça - indígena",raca_idade_gen
v177,INT64,"Pessoas de 10 a 14 anos de idade, do sexo feminino e cor ou raça – branca",raca_idade_gen
v178,INT64,"Pessoas de 10 a 14 anos de idade, do sexo feminino e cor ou raça – preta",raca_idade_gen
v179,INT64,"Pessoas de 10 a 14 anos de idade, do sexo feminino e cor ou raça – amarela",raca_idade_gen
v180,INT64,"Pessoas de 10 a 14 anos de idade, do sexo feminino e cor ou raça – parda",raca_idade_gen
v181,INT64,"Pessoas de 10 a 14 anos de idade, do sexo feminino e cor ou raça - indígena",raca_idade_gen
v182,INT64,"Pessoas de 15 a 19 anos de idade, do sexo feminino e cor ou raça – branca",raca_idade_gen
v183,INT64,"Pessoas de 15 a 19 anos de idade, do sexo feminino e cor ou raça – preta",raca_idade_gen
v184,INT64,"Pessoas de 15 a 19 anos de idade, do sexo feminino e cor ou raça – amarela",raca_idade_gen
v185,INT64,"Pessoas de 15 a 19 anos de idade, do sexo feminino e cor ou raça – parda",raca_idade_gen
v186,INT64,"Pessoas de 15 a 19 anos de idade, do sexo feminino e cor ou raça - indígena",raca_idade_gen
v187,INT64,"Pessoas de 15 a 17 anos de idade, do sexo feminino e cor ou raça – branca",raca_idade_gen
v188,INT64,"Pessoas de 15 a 17 anos de idade, do sexo feminino e cor ou raça – preta",raca_idade_gen
v189,INT64,"Pessoas de 15 a 17 anos de idade, do sexo feminino e cor ou raça – amarela",raca_idade_gen
v190,INT64,"Pessoas de 15 a 17 anos de idade, do sexo feminino e cor ou raça – parda",raca_idade_gen
v191,INT64,"Pessoas de 15 a 17 anos de idade, do sexo feminino e cor ou raça - indígena",raca_idade_gen
v192,INT64,"Pessoas de 18 ou 19 anos de idade, do sexo feminino e cor ou raça – branca",raca_idade_gen
v193,INT64,"Pessoas de 18 ou 19 anos de idade, do sexo feminino e cor ou raça – preta",raca_idade_gen
v194,INT64,"Pessoas de 18 ou 19 anos de idade, do sexo feminino e cor ou raça – amarela",raca_idade_gen
v195,INT64,"Pessoas de 18 ou 19 anos de idade, do sexo feminino e cor ou raça – parda",raca_idade_gen
v196,INT64,"Pessoas de 18 ou 19 anos de idade, do sexo feminino e cor ou raça - indígena",raca_idade_gen
v197,INT64,"Pessoas de 20 a 24 anos de idade, do sexo feminino e cor ou raça - branca",raca_idade_gen
v198,INT64,"Pessoas de 20 a 24 anos de idade, do sexo feminino e cor ou raça - preta",raca_idade_gen
v199,INT64,"Pessoas de 20 a 24 anos de idade, do sexo feminino e cor ou raça - amarela",raca_idade_gen
v200,INT64,"Pessoas de 20 a 24 anos de idade, do sexo feminino e cor ou raça - parda",raca_idade_gen
v201,INT64,"Pessoas de 20 a 24 anos de idade, do sexo feminino e cor ou raça - indígena",raca_idade_gen
v202,INT64,"Pessoas de 25 a 29 anos de idade, do sexo feminino e cor ou raça – branca",raca_idade_gen
v203,INT64,"Pessoas de 25 a 29 anos de idade, do sexo feminino e cor ou raça – preta",raca_idade_gen
v204,INT64,"Pessoas de 25 a 29 anos de idade, do sexo feminino e cor ou raça – amarela",raca_idade_gen
v205,INT64,"Pessoas de 25 a 29 anos de idade, do sexo feminino e cor ou raça – parda",raca_idade_gen
v206,INT64,"Pessoas de 25 a 29 anos de idade, do sexo feminino e cor ou raça - indígena",raca_idade_gen
v207,INT64,"Pessoas de 30 a 34 anos de idade, do sexo feminino e cor ou raça – branca",raca_idade_gen
v208,INT64,"Pessoas de 30 a 34 anos de idade, do sexo feminino e cor ou raça – preta",raca_idade_gen
v209,INT64,"Pessoas de 30 a 34 anos de idade, do sexo feminino e cor ou raça – amarela",raca_idade_gen
v210,INT64,"Pessoas de 30 a 34 anos de idade, do sexo feminino e cor ou raça – parda",raca_idade_gen
v211,INT64,"Pessoas de 30 a 34 anos de idade, do sexo feminino e cor ou raça - indígena",raca_idade_gen
v212,INT64,"Pessoas de 35 a 39 anos de idade, do sexo feminino e cor ou raça - branca",raca_idade_gen
v213,INT64,"Pessoas de 35 a 39 anos de idade, do sexo feminino e cor ou raça – preta",raca_idade_gen
v214,INT64,"Pessoas de 35 a 39 anos de idade, do sexo feminino e cor ou raça – amarela",raca_idade_gen
v215,INT64,"Pessoas de 35 a 39 anos de idade, do sexo feminino e cor ou raça – parda",raca_idade_gen
v216,INT64,"Pessoas de 35 a 39 anos de idade, do sexo feminino e cor ou raça - indígena",raca_idade_gen
v217,INT64,"Pessoas de 40 a 44 anos de idade, do sexo feminino e cor ou raça – branca",raca_idade_gen
v218,INT64,"Pessoas de 40 a 44 anos de idade, do sexo feminino e cor ou raça – preta",raca_idade_gen
v219,INT64,"Pessoas de 40 a 44 anos de idade, do sexo feminino e cor ou raça – amarela",raca_idade_gen
v220,INT64,"Pessoas de 40 a 44 anos de idade, do sexo feminino e cor ou raça – parda",raca_idade_gen
v221,INT64,"Pessoas de 40 a 44 anos de idade, do sexo feminino e cor ou raça - indígena",raca_idade_gen
v222,INT64,"Pessoas de 45 a 49 anos de idade, do sexo feminino e cor ou raça – branca",raca_idade_gen
v223,INT64,"Pessoas de 45 a 49 anos de idade, do sexo feminino e cor ou raça – preta",raca_idade_gen
v224,INT64,"Pessoas de 45 a 49 anos de idade, do sexo feminino e cor ou raça – amarela",raca_idade_gen
v225,INT64,"Pessoas de 45 a 49 anos de idade, do sexo feminino e cor ou raça – parda",raca_idade_gen
v226,INT64,"Pessoas de 45 a 49 anos de idade, do sexo feminino e cor ou raça – indígena",raca_idade_gen
v227,INT64,"Pessoas de 50 a 54 anos de idade, do sexo feminino e cor ou raça – branca",raca_idade_gen
v228,INT64,"Pessoas de 50 a 54 anos de idade, do sexo feminino e cor ou raça – preta",raca_idade_gen
v229,INT64,"Pessoas de 50 a 54 anos de idade, do sexo feminino e cor ou raça – amarela",raca_idade_gen
v230,INT64,"Pessoas de 50 a 54 anos de idade, do sexo feminino e cor ou raça – parda",raca_idade_gen
v231,INT64,"Pessoas de 50 a 54 anos de idade, do sexo feminino e cor ou raça - indígena",raca_idade_gen
v232,INT64,"Pessoas de 55 a 59 anos de idade, do sexo feminino e cor ou raça – branca",raca_idade_gen
v233,INT64,"Pessoas de 55 a 59 anos de idade, do sexo feminino e cor ou raça – preta",raca_idade_gen
v234,INT64,"Pessoas de 55 a 59 anos de idade, do sexo feminino e cor ou raça – amarela",raca_idade_gen
v235,INT64,"Pessoas de 55 a 59 anos de idade, do sexo feminino e cor ou raça – parda",raca_idade_gen
v236,INT64,"Pessoas de 55 a 59 anos de idade, do sexo feminino e cor ou raça - indígena",raca_idade_gen
v237,INT64,"Pessoas de 60 a 69 anos de idade, do sexo feminino e cor ou raça – branca",raca_idade_gen
v238,INT64,"Pessoas de 60 a 69 anos de idade, do sexo feminino e cor ou raça – preta",raca_idade_gen
v239,INT64,"Pessoas de 60 a 69 anos de idade, do sexo feminino e cor ou raça – amarela",raca_idade_gen
v240,INT64,"Pessoas de 60 a 69 anos de idade, do sexo feminino e cor ou raça – parda",raca_idade_gen
v241,INT64,"Pessoas de 60 a 69 anos de idade, do sexo feminino e cor ou raça - indígena",raca_idade_gen
v242,INT64,"Pessoas de 70 anos ou mais de idade, do sexo feminino e cor ou raça – branca",raca_idade_gen
v243,INT64,"Pessoas de 70 anos ou mais de idade, do sexo feminino e cor ou raça – preta",raca_idade_gen
v244,INT64,"Pessoas de 70 anos ou mais de idade, do sexo feminino e cor ou raça – amarela",raca_idade_gen
v245,INT64,"Pessoas de 70 anos ou mais de idade, do sexo feminino e cor ou raça – parda",raca_idade_gen
v246,INT64,"Pessoas de 70 anos ou mais de idade, do sexo feminino e cor ou raça - indígena",raca_idade_gen
v247,INT64,"Pessoas alfabetizadas de 5 ou 6 anos de idade, do sexo masculino e cor ou raça – branca",raca_idade_gen
v248,INT64,"Pessoas alfabetizadas de 5 ou 6 anos de idade, do sexo masculino e cor ou raça - preta",raca_idade_gen
v249,INT64,"Pessoas alfabetizadas de 5 ou 6 anos de idade, do sexo masculino e cor ou raça – amarela",raca_idade_gen
v250,INT64,"Pessoas alfabetizadas de 5 ou 6 anos de idade, do sexo masculino e cor ou raça - parda",raca_idade_gen
v251,INT64,"Pessoas alfabetizadas de 5 ou 6 anos de idade, do sexo masculino e cor ou raça – indígena",raca_idade_gen
v001,INT64,Pessoas de 10 anos ou mais de idade com rendimento nominal mensal de até ½ salário mínimo,pop_renda
v002,INT64,Pessoas de 10 anos ou mais de idade com rendimento nominal mensal de mais de ½ a 1 salário mínimo,pop_renda
v003,INT64,Pessoas de 10 anos ou mais de idade com rendimento nominal mensal de mais de 1 a 2 salários mínimos,pop_renda
v004,INT64,Pessoas de 10 anos ou mais de idade com rendimento nominal mensal de mais de 2 a 3 salários mínimos,pop_renda
v005,INT64,Pessoas de 10 anos ou mais de idade com rendimento nominal mensal de mais de 3 a 5 salários mínimos,pop_renda
v006,INT64,Pessoas de 10 anos ou mais de idade com rendimento nominal mensal de mais de 5 a 10 salários mínimos,pop_renda
v007,INT64,Pessoas de 10 anos ou mais de idade com rendimento nominal mensal de mais de 10 a 15 salários mínimos,pop_renda
v008,INT64,Pessoas de 10 anos ou mais de idade com rendimento nominal mensal de mais de 15 a 20 salários mínimos,pop_renda
v009,INT64,Pessoas de 10 anos ou mais de idade com rendimento nominal mensal de mais de 20 salários mínimos,pop_renda
v010,INT64,Pessoas de 10 anos ou mais de idade sem rendimento nominal mensal,pop_renda
v011,INT64,Total do rendimento nominal mensal das pessoas de 10 anos ou mais de idade com rendimento nominal mensal de até ½ salário mínimo,pop_renda
v012,INT64,Total do rendimento nominal mensal das pessoas de 10 anos ou mais de idade com rendimento nominal mensal de mais de ½ a 1 salário mínimo,pop_renda
